latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-1.22239,112.64091,315.11,1.07,1.03,2024-09-19,06:42,A,52,6.1NRT,298.9,7.28,D
-1.10268,113.46188,329.58,1.01,1.01,2024-09-19,06:42,A,82,6.1NRT,298.82,21.97,D
-1.10138,113.4708,315.04,1.01,1.01,2024-09-19,06:42,A,62,6.1NRT,298.08,6.57,D
-0.91417,114.75935,312.6,1.01,1.01,2024-09-19,06:42,A,34,6.1NRT,296.64,4.3,D
-1.10508,113.50776,318.26,1.01,1.01,2024-09-19,06:42,A,69,6.1NRT,299.65,8.76,D
-1.2365,112.67178,327.89,1.07,1.03,2024-09-19,06:42,A,81,6.1NRT,298.12,22,D
-1.14479,113.36424,312.51,1.02,1.01,2024-09-19,06:42,A,52,6.1NRT,298.32,4.98,D
-1.12032,113.53378,317.15,1.01,1.01,2024-09-19,06:42,A,61,6.1NRT,299.14,7.11,D
-1.11904,113.54266,337.5,1.01,1.01,2024-09-19,06:42,A,88,6.1NRT,299.97,32.33,D
-1.11519,113.56932,312.5,1.01,1,2024-09-19,06:42,A,50,6.1NRT,298.59,4.31,D
-0.8907,115.17381,318.9,1.03,1.01,2024-09-19,06:42,A,56,6.1NRT,299.66,9.55,D
-1.13682,113.54525,328.19,1.01,1.01,2024-09-19,06:42,A,81,6.1NRT,299.36,19.15,D
-1.16767,113.39502,314.55,1.02,1.01,2024-09-19,06:42,A,60,6.1NRT,297.47,6.47,D
-1.56246,110.80197,319.45,1.35,1.15,2024-09-19,06:42,A,74,6.1NRT,298.08,16.9,D
-1.28222,112.73171,325.18,1.06,1.03,2024-09-19,06:42,A,79,6.1NRT,297.32,18.62,D
-1.12619,113.80586,326.95,1,1,2024-09-19,06:42,A,79,6.1NRT,299.17,16.95,D
-1.12492,113.81467,346.79,1,1,2024-09-19,06:42,A,93,6.1NRT,299.94,47.57,D
-1.15689,113.65693,313.56,1.01,1,2024-09-19,06:42,A,55,6.1NRT,297.57,5.39,D
-1.1556,113.66579,312.61,1.01,1,2024-09-19,06:42,A,50,6.1NRT,297.45,4.6,D
-1.52872,111.17384,311.41,1.28,1.12,2024-09-19,06:42,A,59,6.1NRT,296.82,6.88,D
-1.20035,113.54543,313.66,1.01,1.01,2024-09-19,06:42,A,37,6.1NRT,298.2,4.54,D
